spotifyid,DataSet,Wonder,Transcendence,Tenderness,Nostalgia,Peacefulness,Power,Joy,Tension,Sadness,mp3,spec_npy,n_mels,n_frames,tempo,tempo_variance,loudness,energy,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,key,mode,acousticness,danceability,valence
4aGUHPTULXRB0udBu1w38A,Music-Mouv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DataSets\audio\Fit For A King - Disease.mp3,DataSets\img\Fit For A King - Disease.npy,128.0,17076.0,[161.49902344],0.00017696907316725732,-13.920484,0.5109777450561523,2767.7151494565874,2789.9176378612774,5567.906858326463,0.06841136360739053,5,0,0.9974602197762579,[0.77197769],0.3548402583158232
1MTQHCpraD4S8g5PAFKzoj,Music-Mouv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DataSets\audio\Limp Bizkit - Behind Blue Eyes.mp3,DataSets\img\Limp Bizkit - Behind Blue Eyes.npy,128.0,15190.0,[120.18531977],0.000402227898183508,-15.056791,0.4654829800128937,2127.8620387088504,2603.757010358257,4721.968267205056,0.04918484686711763,9,0,0.9985311827622354,[0.68831359],0.2970184625848879
4yy7qdzDVe8zpGtHJxycBt,Music-Mouv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DataSets\audio\Placebo - Drag.mp3,DataSets\img\Placebo - Drag.npy,128.0,20108.0,[151.99908088],0.00010767832593284599,-11.597935,0.6055752635002136,2712.5868575114896,3282.842861774039,5862.823582180103,0.0557863019630485,8,0,0.9976405485067517,[0.78773707],0.3826975450008372
3ZF9W9EJ5NkqbxH6sjvEoJ,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Julien Doré - Coco Câline.mp3,DataSets\img\Julien Doré - Coco Câline.npy,128.0,26294.0,[117.45383523],0.0003252840781987671,-19.751999,0.2822125554084778,2433.570888456574,3136.1136714149366,5277.412719079775,0.042519491580382374,8,0,0.9987588721560314,[0.62274687],0.2563089110332642
6bVB2MGR7LcotAIB1vfpw6,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\The Smashing Pumpkins - Ava Adore.mp3,DataSets\img\The Smashing Pumpkins - Ava Adore.npy,128.0,14560.0,[161.49902344],6.409225494499277e-05,-14.634344,0.43905022740364075,3085.3175134189064,3397.1497897532613,6584.11725555802,0.06500479209443027,5,0,0.999000326381065,[0.74851522],0.35203791002914064
2HVCLZ6dMDelXhloO5sAjV,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\System Of A Down - Ego Brain.mp3,DataSets\img\System Of A Down - Ego Brain.npy,128.0,20187.0,[86.1328125],0.0003275228560568461,-12.270551,0.4860783517360687,2997.0774239000643,3284.3301187900015,6258.022912794941,0.06868449330857825,2,0,0.9997393307567108,[0.63882725],0.36183127883869387
3wfQEIvOfeVkXgGZogK3gL,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\RIDSA - Santa Maria.mp3,DataSets\img\RIDSA - Santa Maria.npy,128.0,19037.0,[112.34714674],0.002172156612675117,-15.363213,0.40363267064094543,1931.986853514823,2632.9586752460236,3844.6478991012077,0.033327361712508385,7,0,0.9992699471767992,[0.65487945],0.2633433471146367
3UrDYCWfY6fTsiA63NNL27,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Jackson Browne - Running on Empty.mp3,DataSets\img\Jackson Browne - Running on Empty.npy,128.0,29189.0,[135.99917763],0.0001139833873063322,-22.001015,0.39384856820106506,2121.9334752758255,2463.6760841474534,4249.901092991777,0.05346834090106797,9,0,0.9997205052932259,[0.69118832],0.27274508775207673
0gMywbX34eJ7W8RW7i2Qo3,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Aya Nakamura - Ça fait mal.mp3,DataSets\img\Aya Nakamura - Ça fait mal.npy,128.0,15367.0,[95.703125],0.001579397028842301,-17.318008,0.35100775957107544,3212.543257037605,3523.250496433786,6780.229102624943,0.06737790607764808,5,0,0.9905297262594104,[0.60668437],0.33117213699286546
7dQd7DE1UbB179Fnr9kS1l,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Marillion - Heart of Lothian - 2017 Remaster.mp3,DataSets\img\Marillion - Heart of Lothian - 2017 Remaster.npy,128.0,24460.0,[139.67483108],0.0013365947163537896,-16.698912,0.4906800091266632,2020.4627849981423,2610.134565366228,4275.611267031903,0.04077873860089947,9,0,0.9998152504995232,[0.72962314],0.29825752204209727
2jffEzKCBXUGUx60BeTt7Z,Music-Mouv,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DataSets\audio\Genesis - Dreaming While You Sleep - 2007 Digital Remaster.mp3,DataSets\img\Genesis - Dreaming While You Sleep - 2007 Digital Remaster.npy,128.0,43679.0,[101.33272059],0.00011468149374290017,-18.620066,0.3585459589958191,2204.3889713303197,2879.352837672137,4670.986863362859,0.040728070925921005,3,0,0.9996517584950197,[0.62162044],0.2664745844206277
6Tio0ZoDeSQnI7EBAqWer2,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\P!nk - Cover Me In Sunshine.mp3,DataSets\img\P!nk - Cover Me In Sunshine.npy,128.0,15644.0,[161.49902344],0.00023135475901960194,-18.897411,0.3142172694206238,3148.251345957482,3459.468208835032,6922.669921875,0.07739987969619666,10,0,0.9954701429232955,[0.70572751],0.3146225128707067
58PwCUkHNkODqp2tCehNSP,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Timal - Filtré.mp3,DataSets\img\Timal - Filtré.npy,128.0,9646.0,[129.19921875],0.0008453343319359976,-12.667446,0.4501487910747528,3611.6461692267535,3952.5467960931487,8138.304244879423,0.07007068060611987,6,0,0.9985852198442444,[0.69824337],0.3908260083067012
6RXHipTclQenO0vKFeGZYi,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Jul - La miss.mp3,DataSets\img\Jul - La miss.npy,128.0,29876.0,[129.19921875],0.00031760313829125113,-18.350428,0.3175148069858551,2188.129524033266,2563.869642109602,4485.924435777382,0.04218438432047371,10,0,0.9696819875389338,[0.64439763],0.25171357059750277
07qlsG6DYRLBbovwca9Vbr,Music-Mouv,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DataSets\audio\Michael Schulte - You Let Me Walk Alone.mp3,DataSets\img\Michael Schulte - You Let Me Walk Alone.npy,128.0,17624.0,[101.33272059],0.002933305916782804,-18.081251,0.3100876808166504,2075.3024347062174,2676.2408091707525,4395.575023545578,0.043258952466238475,11,0,0.9973583756946027,[0.60470322],0.24171605591929798
76yv2Tw0YoHamH32IsIip8,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\DA Uzi - On se reverra plus (feat. Gazo).mp3,DataSets\img\DA Uzi - On se reverra plus (feat. Gazo).npy,128.0,17904.0,[143.5546875],0.0005451189943107157,-16.33084,0.34894421696662903,3918.8849191436166,3885.061037653801,8591.479946557252,0.09574764373662538,0,0,0.9986049383878708,[0.68844086],0.3775737335984508
68fTgSHZ3vAdpFx0pcfMer,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Tyrone Wells - Time of Our Lives.mp3,DataSets\img\Tyrone Wells - Time of Our Lives.npy,128.0,24884.0,[161.49902344],0.0003308763091289681,-15.6638565,0.36936384439468384,2226.128314305599,3000.6316591067284,4671.366850785734,0.04276672144006905,9,0,0.9913292536512017,[0.72272941],0.2715298357519345
5cqLFudVQryezmVFmmyRJN,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Aya Nakamura - Dégaine (feat. Damso).mp3,DataSets\img\Aya Nakamura - Dégaine (feat. Damso).npy,128.0,20876.0,[117.45383523],0.0018482907475559228,-14.997041,0.3082955479621887,2928.172322286024,3545.9369925820665,6552.979680591666,0.05994038629317057,8,0,0.9995118078659289,[0.63169218],0.2979766708064645
28XVkwY5IaEmQ9gl48cFtc,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Imagine Dragons - One Day.mp3,DataSets\img\Imagine Dragons - One Day.npy,128.0,8515.0,[178.20581897],0.00014798115750046308,-13.317924,0.4621809720993042,1847.5837742516446,2378.952924641261,3837.452270407946,0.034216038953845104,4,0,0.9983270697994158,[0.78384571],0.2772325756498777
4TP2Sr5pN3N22t0DRoC3XQ,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Nekfeu - Martin Eden.mp3,DataSets\img\Nekfeu - Martin Eden.npy,128.0,16446.0,[172.265625],0.00011016721484515107,-20.436148,0.31334343552589417,2242.9682073741606,2660.2769382251286,4878.394673270384,0.04277012828715143,5,0,0.9986932318424806,[0.72445493],0.2539790256669088
6yeRgCv8nriUNCK7PDaBBi,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Kendji Girac - Si je pars.mp3,DataSets\img\Kendji Girac - Si je pars.npy,128.0,13792.0,[135.99917763],0.0007602674037737605,-13.958477,0.54694664478302,1988.689414777834,2577.0521801419927,3840.699378729007,0.04466821866581783,8,0,0.9977624409366399,[0.74156832],0.31489484257952893
3OYZWMm5m2DEwq2Tc1ukTh,Music-Mouv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DataSets\audio\Slipknot - The Heretic Anthem.mp3,DataSets\img\Slipknot - The Heretic Anthem.npy,128.0,25409.0,[101.33272059],0.0011444205954030538,-15.494423,0.4578700065612793,3296.318888989427,3145.458843022638,6445.532658284784,0.0873934415695682,5,0,0.9938631653785706,[0.65279892],0.37237792811972154
465QB2MGS6q6rDOpaS2e6q,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Soprano - Clown.mp3,DataSets\img\Soprano - Clown.npy,128.0,25166.0,[129.19921875],0.00029082580987893777,-17.98429,0.3337571322917938,2925.4912676762997,3291.218848418712,6527.215937719857,0.054513371283331793,2,0,0.9948490047827363,[0.65820074],0.3062851286090179
2QjOHCTQ1Jl3zawyYOpxh6,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\The Neighbourhood - Sweater Weather.mp3,DataSets\img\The Neighbourhood - Sweater Weather.npy,128.0,24003.0,[123.046875],0.0001571357249403363,-14.943213,0.3795148730278015,1942.9120169558757,2365.4880195655674,3785.1882037862756,0.04581688803657799,7,0,0.9997141025669407,[0.66482112],0.2560324254729922
3f57KXCQHZrAl1LSPeggqV,Music-Mouv,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DataSets\audio\Selah Sue - Wanted You to Know.mp3,DataSets\img\Selah Sue - Wanted You to Know.npy,128.0,20652.0,[135.99917763],0.0006928138204010278,-23.595026,0.3576900362968445,2393.0911849446434,2715.137685884335,4979.001213401415,0.05060183656116483,0,0,0.9980858231429011,[0.67859058],0.27876942442859104
3McVJ4pdwNMP4RJtsJAogG,Music-Mouv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DataSets\audio\Yuksek - Always On The Run.mp3,DataSets\img\Yuksek - Always On The Run.npy,128.0,12635.0,[123.046875],0.00022406963921784914,-20.618233,0.3881995975971222,2680.864825421292,2814.2138907265926,5470.7711335195945,0.06667437172654599,7,0,0.9982544479425997,[0.66722947],0.30812418756046017
00h6syYCxPKVsInPHXhdZ1,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,DataSets\audio\Panic! At The Disco - Sarah Smiles.mp3,DataSets\img\Panic! At The Disco - Sarah Smiles.npy,128.0,21331.0,[172.265625],0.00015820791051499925,-11.224824,0.5544134378433228,3009.646680796063,3253.9985276263756,6344.3686685285475,0.0698699029316116,5,0,0.9997579455084633,[0.8051665],0.38544759133417844
0SKNkEMV313mE6oYsgVCgm,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Jul - J'oublie tout.mp3,DataSets\img\Jul - J'oublie tout.npy,128.0,31686.0,[60.09265988],0.0005991911137746522,-13.685366,0.39531832933425903,2461.659482122347,3067.6741009526354,5388.835568730649,0.042903698313608386,10,0,0.9981008315226063,[0.56462749],0.2958834085862428
6FgoXztd4u1QXyKzNaeGd4,Music-Mouv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DataSets\audio\NateWantsToBattle - Branded.mp3,DataSets\img\NateWantsToBattle - Branded.npy,128.0,19706.0,[92.28515625],0.000651890102260573,-13.527054,0.5060350298881531,2887.218289194158,3170.3568472509505,5817.994152247319,0.06425531542744359,5,0,0.9920333744958043,[0.65316473],0.36115956257566156
7vLSr5xZgifxkAle3HrLdr,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Calogero - Je joue de la musique.mp3,DataSets\img\Calogero - Je joue de la musique.npy,128.0,12606.0,[107.66601562],6.980876730923651e-05,-17.715511,0.4415755271911621,3279.5920837246285,3589.893781825115,7219.74507653487,0.06793216263354208,7,0,0.9918251493945718,[0.65724358],0.3658313146453626
0BfgFi5DedehpKzMJrqABI,Music-Mouv,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DataSets\audio\Set It Off - Kill the Lights.mp3,DataSets\img\Set It Off - Kill the Lights.npy,128.0,16611.0,[161.49902344],0.0001746208043499821,-12.831686,0.5193507671356201,3253.6945199812203,3386.376226403746,6999.901452987393,0.07744122878005522,8,0,0.9988373030209914,[0.77522773],0.3900298903772881
3PbKYLgXyZc3yZJBOS1nVn,Music-Mouv,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DataSets\audio\Bloodywood - Gaddaar.mp3,DataSets\img\Bloodywood - Gaddaar.npy,128.0,30087.0,[105.46875],0.0008974752060354672,-11.708038,0.5618481636047363,3090.447209164889,3347.396391965083,6482.331704535863,0.0678574147151746,9,0,0.9945750888437033,[0.694589],0.39331253514590464
1jO4l4FhDK46ccYxBlSf4h,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\TRUST - Antisocial.mp3,DataSets\img\TRUST - Antisocial.npy,128.0,30646.0,[92.28515625],0.001188665577770586,-13.451246,0.47403284907341003,3014.6507006257,2945.1095085112283,6418.200587402565,0.08252850292776368,7,0,0.9987634710269049,[0.6447407],0.3589876630661834
3XPQbWNieauipBXvJCToeI,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Lara Fabian - Il Existe Un Endroit.mp3,DataSets\img\Lara Fabian - Il Existe Un Endroit.npy,128.0,21187.0,[132.51201923],0.00036656375402122874,-17.323864,0.35971441864967346,2639.1630439549353,3629.622033637504,6299.005288496116,0.04929489394110636,7,0,0.9987035283120349,[0.67365935],0.29584900914688683
2Xmngyu2TzYsxnleGTHq1D,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Invisible - Los Libros de la Buena Memoria.mp3,DataSets\img\Invisible - Los Libros de la Buena Memoria.npy,128.0,31025.0,[87.59269068],0.0024020035873599252,-20.10317,0.34386372566223145,2252.0396434002305,3017.803712516363,4846.60726846373,0.039781300138223626,0,0,0.9936422188766301,[0.59182313],0.26475721811409253
6qlpXtA29VcxCNgLWR5IWx,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DataSets\audio\Céline Dion - Pour que tu m'aimes encore.mp3,DataSets\img\Céline Dion - Pour que tu m'aimes encore.npy,128.0,25035.0,[90.66611842],0.0004624200043780103,-19.869076,0.28353622555732727,2802.547237429596,3378.004140114176,6169.672628062248,0.05851936313795622,7,0,0.9906678656116128,[0.57584489],0.2813485576810822
7mZ9gL6I7v15YPoP82Hvov,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Hubert-Félix Thiéfaine - Une fille au rhésus négatif.mp3,DataSets\img\Hubert-Félix Thiéfaine - Une fille au rhésus négatif.npy,128.0,20774.0,[172.265625],0.0003951977514193747,-20.38281,0.2552920877933502,2344.943214170742,3023.36353054772,5071.131911469103,0.042806226074382475,4,0,0.9997208170534577,[0.70544701],0.2414269102091662
3QZ7uX97s82HFYSmQUAN1D,Music-Mouv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,DataSets\audio\Rush - Tom Sawyer.mp3,DataSets\img\Rush - Tom Sawyer.npy,128.0,15453.0,[172.265625],0.00011106162660115952,-17.474512,0.3679313659667969,2565.8661356270795,2840.02153556818,5106.339460755541,0.060922862568087904,11,0,0.9974250900559127,[0.74222819],0.2937015310307376
05SBRd4fXgn8FX7bf8BCAE,MuVi,0.0714285714285714,0.0238095238095238,0.1666666666666666,0.119047619047619,0.1428571428571428,0.1666666666666666,0.1666666666666666,0.0714285714285714,0.0714285714285714,DataSets\audio\Calvin Harris - I Need Your Love (feat. Ellie Goulding).mp3,DataSets\img\Calvin Harris - I Need Your Love (feat. Ellie Goulding).npy,128.0,22684.0,[126.04801829],0.00026075020774108797,-23.84647,0.4961375594139099,2975.039596290688,3460.1925335766787,6645.384762526071,0.058500732146970005,8,0,0.9895250517874956,[0.7053009],0.3637151595573492
03UrZgTINDqvnUMbbIMhql,MuVi,0.1111111111111111,0.0185185185185185,0.0555555555555555,0.0925925925925925,0.0555555555555555,0.2222222222222222,0.1481481481481481,0.1666666666666667,0.1296296296296296,DataSets\audio\PSY - Gangnam Style (강남스타일).mp3,DataSets\img\PSY - Gangnam Style (강남스타일).npy,128.0,12347.0,[132.51201923],0.0008693128874127695,-11.409297,0.509912371635437,3365.6873417879333,3516.7080509686316,7134.522186838857,0.0598462935619417,7,0,0.9961602373514324,[0.72287757],0.3943499466643412
0n4bITAu0Y0nigrz3MFJMb,MuVi,0.1066666666666666,0.1866666666666666,0.0533333333333333,0.0266666666666666,0.04,0.2133333333333333,0.08,0.1599999999999999,0.1333333333333333,DataSets\audio\Robin Thicke - Blurred Lines.mp3,DataSets\img\Robin Thicke - Blurred Lines.npy,128.0,15289.0,[120.18531977],4.1499278709612095e-05,-22.666342,0.3462759256362915,2906.6154539887334,3631.5168752332356,6664.885281158639,0.049845807091939406,2,0,0.9986939524533227,[0.64863216],0.3091996721446794
3bC1ahPIYt1btJzSSEyyrF,MuVi,0.1196581196581196,0.0512820512820512,0.1367521367521367,0.1709401709401709,0.0769230769230769,0.1367521367521367,0.1538461538461538,0.0854700854700854,0.0683760683760683,DataSets\audio\Flo Rida - Whistle.mp3,DataSets\img\Flo Rida - Whistle.npy,128.0,22548.0,[103.359375],0.0005032779880527217,-15.94314,0.37966737151145935,3377.683291982176,3459.603425123094,7176.456345780663,0.07783599361676793,9,0,0.988465285860002,[0.62830984],0.35173467663596486
6YUTL4dYpB9xZO5qExPf05,MuVi,0.0253164556962025,0.050632911392405,0.1265822784810126,0.1012658227848101,0.1139240506329114,0.1772151898734177,0.2531645569620253,0.050632911392405,0.1012658227848101,DataSets\audio\Calvin Harris - Summer.mp3,DataSets\img\Calvin Harris - Summer.npy,128.0,22203.0,[129.19921875],0.0001223931500377014,-13.664926,0.49178990721702576,2912.028998486653,3182.0074386135466,6107.0130020074575,0.06393823900922924,7,0,0.9974816876929253,[0.7117559],0.3580652356381188
3hlksXnvbKogFdPbpO9vel,MuVi,0.1372549019607843,0.0392156862745098,0.0588235294117647,0.0588235294117647,0.0,0.3137254901960785,0.2941176470588235,0.0,0.0980392156862745,DataSets\audio\Nicki Minaj - Super Bass.mp3,DataSets\img\Nicki Minaj - Super Bass.npy,128.0,11321.0,[126.04801829],0.00020957460506766795,-14.05029,0.34960612654685974,2623.70477687226,3211.768267219821,5536.232677057161,0.04491211037649984,4,0,0.998899819678627,[0.65958201],0.2914490273071039
7MmG8p0F9N3C4AXdK6o6Eb,MuVi,0.0659340659340659,0.1098901098901098,0.0439560439560439,0.1318681318681318,0.0989010989010989,0.1978021978021978,0.1758241758241758,0.1318681318681318,0.0439560439560439,DataSets\audio\Calvin Harris - Outside (feat. Ellie Goulding).mp3,DataSets\img\Calvin Harris - Outside (feat. Ellie Goulding).npy,128.0,22611.0,[129.19921875],0.00010823992777908565,-14.488573,0.46822065114974976,3171.136370253993,3446.3137210291156,6817.080404063703,0.06960977615532735,7,0,0.9995737845019903,[0.70459684],0.36748264173351614
0COqiPhxzoWICwFCS4eZcp,MuVi,0.0476190476190476,0.119047619047619,0.0238095238095238,0.1428571428571428,0.0714285714285714,0.2380952380952381,0.1666666666666666,0.119047619047619,0.0714285714285714,DataSets\audio\Evanescence - Bring Me To Life.mp3,DataSets\img\Evanescence - Bring Me To Life.npy,128.0,13298.0,[95.703125],0.0017113077191994238,-12.776544,0.48423823714256287,2667.128503365364,2932.52119666399,5361.538221500131,0.0632853254048804,4,0,0.9982460765168071,[0.65366665],0.3392213126052119
3avYqdwHKEq8beXbeWCKqJ,MuVi,0.0277777777777777,0.0833333333333333,0.0555555555555555,0.3055555555555556,0.0833333333333333,0.0277777777777777,0.1666666666666666,0.1388888888888888,0.1111111111111111,DataSets\audio\Katy Perry - Last Friday Night (T.G.I.F.).mp3,DataSets\img\Katy Perry - Last Friday Night (T.G.I.F.).npy,128.0,13614.0,[126.04801829],0.00027057301514192225,-11.037943,0.4401276409626007,3117.6940408507426,3428.294572153584,6526.843147206262,0.06357296119467423,1,0,0.999017178080976,[0.68979497],0.3545554830442497
5vL0yvddknhGj7IrBc6UTj,MuVi,0.1176470588235294,0.0705882352941176,0.0705882352941176,0.1176470588235294,0.0352941176470588,0.1647058823529411,0.1647058823529411,0.1647058823529411,0.0941176470588235,DataSets\audio\Katy Perry - This Is How We Do.mp3,DataSets\img\Katy Perry - This Is How We Do.npy,128.0,11783.0,[93.96306818],0.001498002025485087,-14.426313,0.46609023213386536,3405.6110209976664,3550.3950858651924,7150.752628607191,0.07349159630874963,11,0,0.9969549083616585,[0.64428683],0.3824041454444662
3goSVuTt3fDYDP6kRnFwuL,MuVi,0.0833333333333333,0.0555555555555555,0.0555555555555555,0.1111111111111111,0.0,0.3055555555555556,0.1666666666666666,0.0833333333333333,0.1388888888888888,DataSets\audio\Rihanna - Take A Bow.mp3,DataSets\img\Rihanna - Take A Bow.npy,128.0,12927.0,[82.03125],0.0002774472563868259,-17.345293,0.33526602387428284,2769.2707635547413,3313.872902083876,5706.768748947576,0.058973938454198474,9,0,0.9947563614696264,[0.58005955],0.296373392195077
7795WJLVKJoAyVoOtCWqXN,MuVi,0.135593220338983,0.0508474576271186,0.0677966101694915,0.135593220338983,0.0,0.2542372881355932,0.1186440677966101,0.135593220338983,0.1016949152542373,DataSets\audio\Sam Smith - I'm Not The Only One.mp3,DataSets\img\Sam Smith - I'm Not The Only One.npy,128.0,13478.0,[82.03125],0.00033193277729981176,-14.156358,0.35363730788230896,1442.0360474567785,2261.8980104769635,2840.4055194918815,0.026742073431712466,5,0,0.9992567176814191,[0.58768343],0.21401483912455488
561jH07mF1jHuk7KlaeF0s,MuVi,0.1132075471698113,0.0754716981132075,0.0754716981132075,0.1886792452830188,0.1132075471698113,0.1886792452830188,0.1320754716981132,0.0377358490566037,0.0754716981132075,DataSets\audio\Eminem - Mockingbird.mp3,DataSets\img\Eminem - Mockingbird.npy,128.0,14108.0,[166.70866935],6.971067719122277e-05,-11.877518,0.44896551966667175,2240.7428662873494,2709.2176055726554,4412.706535093246,0.03854392216816162,4,0,0.9969427308533341,[0.7598172],0.2990380309747139
3TGRqZ0a2l1LRblBkJoaDx,MuVi,0.1415929203539823,0.0884955752212389,0.0707964601769911,0.1946902654867257,0.079646017699115,0.1238938053097345,0.0884955752212389,0.0707964601769911,0.1415929203539823,DataSets\audio\Carly Rae Jepsen - Call Me Maybe.mp3,DataSets\img\Carly Rae Jepsen - Call Me Maybe.npy,128.0,10947.0,[120.18531977],0.00040361869523857993,-16.56248,0.36632418632507324,3366.8667239352662,3559.4200797960866,7004.119071025891,0.06961345359065119,7,0,0.9986871432047337,[0.65531264],0.3465658437040422
4lhqb6JvbHId48OUJGwymk,MuVi,0.0784313725490196,0.0392156862745098,0.0784313725490196,0.0980392156862745,0.0588235294117647,0.1764705882352941,0.196078431372549,0.1372549019607843,0.1372549019607843,DataSets\audio\Avicii - Hey Brother.mp3,DataSets\img\Avicii - Hey Brother.npy,128.0,14552.0,[126.04801829],0.0003644033602214623,-14.097335,0.46876221895217896,2690.6512576737305,2968.7702667184517,5565.02390451098,0.06326966432553455,7,0,0.9972205806989223,[0.69874096],0.3356308234956417
6F5c58TMEs1byxUstkzVeM,MuVi,0.1860465116279069,0.0465116279069767,0.0465116279069767,0.1162790697674418,0.0697674418604651,0.2790697674418604,0.0930232558139534,0.0930232558139534,0.0697674418604651,DataSets\audio\Katy Perry - Roar.mp3,DataSets\img\Katy Perry - Roar.npy,128.0,15137.0,[90.66611842],0.0005169800012899633,-21.492231,0.47670701146125793,2525.434698358728,3089.1250183082675,5275.740466269271,0.04583409732608529,10,0,0.9989596866071224,[0.6429991],0.32726465037766783
2xnoPV3NLescauc0ZJ1MDZ,MuVi,0.1176470588235294,0.0588235294117647,0.1372549019607843,0.1372549019607843,0.1176470588235294,0.1372549019607843,0.1568627450980392,0.0588235294117647,0.0784313725490196,DataSets\audio\Jennifer Lopez - Dance Again.mp3,DataSets\img\Jennifer Lopez - Dance Again.npy,128.0,23739.0,[63.80208333],0.001753618287652397,-14.801771,0.37400248646736145,3730.7355921914213,3771.3728200601527,7861.728545714224,0.0858732380132171,6,0,0.9963356198277324,[0.56311617],0.3733832016352152
6epn3r7S14KUqlReYr77hA,MuVi,0.1025641025641025,0.0512820512820512,0.0512820512820512,0.0769230769230769,0.0,0.2051282051282051,0.2051282051282051,0.1282051282051282,0.1794871794871795,DataSets\audio\Justin Bieber - Baby.mp3,DataSets\img\Justin Bieber - Baby.npy,128.0,11929.0,[129.19921875],0.0001081833186789523,-14.430751,0.40145111083984375,2624.238052999444,3113.9901389922293,5557.66628649635,0.04824076186131387,3,0,0.9954715063795447,[0.6809729],0.30876624047991086
2HHtWyy5CgaQbC7XSoOb0e,MuVi,0.1216216216216216,0.054054054054054,0.1351351351351351,0.1756756756756756,0.1216216216216216,0.1486486486486486,0.081081081081081,0.0675675675675675,0.0945945945945945,DataSets\audio\Survivor - Eye of the Tiger.mp3,DataSets\img\Survivor - Eye of the Tiger.npy,128.0,22674.0,[109.95678191],0.0004664343347550535,-24.318754,0.28267115354537964,3062.61253187871,3361.02311553077,6578.491137179003,0.07194593817207742,0,0,0.9987128728535026,[0.61038931],0.29839788664037387
5Me1gCGtrfEJvkpqoX43HK,MuVi,0.1136363636363636,0.0454545454545454,0.0454545454545454,0.1590909090909091,0.0681818181818181,0.2727272727272727,0.1363636363636363,0.1136363636363636,0.0454545454545454,DataSets\audio\Lil Wayne - Mirror (feat. Bruno Mars).mp3,DataSets\img\Lil Wayne - Mirror (feat. Bruno Mars).npy,128.0,13614.0,[156.60511364],0.0009366187937652609,-19.493322,0.4653455913066864,2599.3312976070715,3302.0196730783277,5961.828865208724,0.047798511987250554,7,0,0.9984875121153891,[0.74895289],0.3284039502760336
